,tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score
48,smoove,10000,human,315,27,471,4120,3805,0.07645631067961164,0.9210526315789473,0.9457831325301205,0.1411922890372629
49,tardis,10,human,140,663,239,4120,3980,0.03398058252427184,0.17434620174346202,0.26496674057649666,0.05687588595563236
50,tardis,100,human,693,110,733,4120,3427,0.16820388349514562,0.863013698630137,0.8695136417556346,0.28153564626438704
51,tardis,1000,human,781,22,843,4120,3339,0.18956310679611652,0.9726027397260274,0.9745664739884393,0.3172862048668653
52,tardis,10000,human,788,15,1166,4120,3332,0.1912621359223301,0.9813200498132005,0.9872988992379339,0.32012999930115327
53,GENOMESTRIP,10,human,0,571,496,4120,4120,0.0,0.0,0.46485473289597,0.0
54,gasv,10,human,0,217811,6781,4120,4120,0.0,0.0,0.0301925268932108,0.0
55,crest,10,human,0,4213,4234,4120,4120,0.0,0.0,0.5012430448680004,0.0
56,svpred,10,human,0,0,0,0,0,0.5885922330097088,0.6968390804597702,0,0.6381578947368423
57,svpred,100,human,0,0,0,0,0,0.7240291262135923,0.857183908045977,0,0.785
58,svpred,1000,human,0,0,0,0,0,0.7480582524271845,0.885632183908046,0,0.8110526315789474
59,svpred,10000,human,0,0,0,0,0,0.7516990291262136,0.8899425287356322,0,0.815
60,jasmine,10,human,0,0,0,0,0,0.6155339805825243,0.6593863754550182,0,0.6367060005021342
61,jasmine,100,human,0,0,0,0,0,0.7002427184466019,0.750130005200208,0,0.7243283956816471
62,jasmine,1000,human,0,0,0,0,0,0.7262135922330097,0.7779511180447218,0,0.751192568415767
63,jasmine,10000,human,0,0,0,0,0,0.7313106796116505,0.7834113364534582,0,0.7564649761486317
64,surv,10,human,0,0,0,0,0,0.45169902912621357,0.896867469879518,0,0.6008071025020177
65,surv,100,human,0,0,0,0,0,0.48325242718446604,0.9595180722891566,0,0.6427764326069411
66,surv,1000,human,0,0,0,0,0,0.4929611650485437,0.9787951807228915,0,0.6556900726392252
67,surv,10000,human,0,0,0,0,0,0.49393203883495146,0.980722891566265,0,0.6569814366424536
,parl,10,human,0,0,0,0,0,0.5814021707245527 , 0.136586038177934 , 0, 0.22120535714285716
,parl,100,human,0,0,0,0,0,0.7923144617189791 , 0.1861346564675074 , 0, 0.3014508928571429
,parl,1000,human,0,0,0,0,0,0.9008506893517161 , 0.2116325546137413 ,0, 0.3427455357142858
,parl,10000,human,0,0,0,0,0,0.9571721912584336 , 0.2248638963544897 , 0,0.36417410714285714

